Date	Start time	Leadtext	name	org name	episode nr	Season number	Widescreen (16:9)	Duration (minutes)	Parental rating	B-line	Category	Country of Origin	Production Year	Genre	Logline	Synopsis this episode	Guests this episode	Synopsis	Cast	Director	Guest	Host	Commentator	Voice	Rerun	Extra information	Unique ID	Category Num	Last episode this season	HD
	00:59		END	END							UUTISET/AJANKOHTAISOHJELMAT																157381	2		false
2013-04-02	05:00		Playdate	Playdate					15	USA trilleri 2012	ELOKUVAT	Yhdysvallat	2012	Trilleri	Valentinen perhe ep‰ilee t‰ss‰ trilleriss‰, ett‰ uudet naapurit k‰ytt‰v‰t lapsiaan hyv‰kseen, mutta pian selvi‰‰, ett‰ n‰m‰ yritt‰v‰tkin vain peitell‰ karmeaa totuutta yhdest‰ pojastaan. USA 2012.			Valentinen perhe ep‰ilee t‰ss‰ trilleriss‰, ett‰ uudet naapurit k‰ytt‰v‰t lapsiaan hyv‰kseen, mutta pian selvi‰‰, ett‰ n‰m‰ yritt‰v‰tkin vain peitell‰ karmeaa totuutta yhdest‰ pojastaan. USA 2012.	Marguerite Moreau (Emily Valentine), Richard Ruccolo (Brian Valentine), Abby Brammell (Tamara), Natalie Alyn Lind (Olive), Julien Dean Lacroix (Titus Moor) 	Andrew C. Erin							2058379	1		false
	07:00		Jesse Stone: Innocents Lost	Jesse Stone: Innocents Lost				91	15	USA draama 2012	ELOKUVAT	Yhdysvallat	2011	Rikos/Draama	Poliisip‰‰llikˆn viran menett‰nyt Jesse Stone (Tom Selleck) alkaa tutkia nuoren yst‰v‰ns‰ outoa kuolemaa, kun taas h‰nen entiset alaisensa yritt‰v‰t kest‰‰ uutta, ylimielist‰ pomoa. USA 2012.			Poliisip‰‰llikˆn viran menett‰nyt Jesse Stone (Tom Selleck) alkaa tutkia nuoren yst‰v‰ns‰ outoa kuolemaa, kun taas h‰nen entiset alaisensa yritt‰v‰t kest‰‰ uutta, ylimielist‰ pomoa. USA 2012.	Tom Selleck (Jesse Stone), Kathy Baker (Rose Gammon), Kohl Sudduth (Luther 'Suitcase' Simpson), Gloria Reuben (Thelma Gleffey), Stephen McHattie (Captain Healy) 	Dick Lowry							2000433	1		false
	09:00		Immortals	Immortals				110	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama	Mickey Rourken t‰hditt‰m‰ toimintaelokuva, jossa Zeuksen valitsema kuolevainen Theseus taistelee h‰ik‰ilem‰tˆnt‰ kuningas Hyperionia vastaan, jotta t‰m‰ ei saisi tuhoisaa asetta. USA 2011.			Mickey Rourken t‰hditt‰m‰ toimintaelokuva, jossa Zeuksen valitsema kuolevainen Theseus taistelee h‰ik‰ilem‰tˆnt‰ kuningas Hyperionia vastaan, jotta t‰m‰ ei saisi tuhoisaa asetta. USA 2011.	Henry Cavill, Stephen Dorff, Luke Evans, Isabel Lucas, Freida Pinto, Mickey Rourke 	Tarsem Singh							1999480	1		false
	11:00		Siepattu	Abduction				106	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama	Twilight-elokuvista tuttu Taylor Lautner esitt‰‰ nuorukaista, joka yritt‰‰ selvitt‰‰ totuuden el‰m‰st‰‰n lˆydetty‰‰n kadonneita henkilˆit‰ listaavalta nettisivulta oman lapsikuvansa. USA 2011.			Twilight-elokuvista tuttu Taylor Lautner esitt‰‰ nuorukaista, joka yritt‰‰ selvitt‰‰ totuuden el‰m‰st‰‰n lˆydetty‰‰n kadonneita henkilˆit‰ listaavalta nettisivulta oman lapsikuvansa. USA 2011.	Taylor Lautner (Nathan), Sigourney Weaver (Dr Bennett), Alfred Molina (Agent Frank Burton), Antonique Smith (Agent Sandra Burns), Maria Bello (Mara) 	John Singleton							2000829	1		false
	13:00		The Green Hornet	The Green Hornet			X	119	15	USA toimintakomedia 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Komedia/Rikos	T‰ss‰ vauhdikkaassa toimintakomediassa Seth Rogen on tyylikk‰‰sti pukeutunut supersankari, joka apurinsa kanssa jahtaa roistoja Los Angelesin yˆss‰. Mukana myˆs Cameron Diaz. USA 2011.			T‰ss‰ vauhdikkaassa toimintakomediassa Seth Rogen on tyylikk‰‰sti pukeutunut supersankari, joka apurinsa kanssa jahtaa roistoja Los Angelesin yˆss‰. Mukana myˆs Cameron Diaz. USA 2011.	Seth Rogen (Britt Reid / The Green Hornet), Jay Chou (Kato), Cameron Diaz (Lenore Case), Tom Wilkinson (James Reid), Christoph Waltz (Chudnofsky) 	Michel Gondry							1935846	1		false
	15:00		The Warrior's Way	The Warrior's Way			X	100	15	USA fantasial‰nkk‰ri 2010	ELOKUVAT	Uusi-Seelanti	2010	Toiminta/Fantasia/Western	Visuaalisesti n‰ytt‰v‰ fantasial‰nkk‰ri maailman parhaasta miekkailijasta, joka l‰htee etsim‰‰n vanhaa yst‰v‰‰ Villist‰ l‰nnest‰. P‰‰osissa Dong-gun Jang, Kate Bosworth ja Geoffrey Rush. USA 2010.			Visuaalisesti n‰ytt‰v‰ fantasial‰nkk‰ri maailman parhaasta miekkailijasta, joka l‰htee etsim‰‰n vanhaa yst‰v‰‰ Villist‰ l‰nnest‰. P‰‰osissa Dong-gun Jang, Kate Bosworth ja Geoffrey Rush. USA 2010.	Dong-gun Jang (Yang), Kate Bosworth (Lynne), Geoffrey Rush (Ronald), Danny Huston (Colonel), Tony Cox (Eight-ball) 	Sngmoo Lee							1936605	1		false
	17:00		Vantage Point - askeleen edell‰	Vantage Point			X	90	U	USA toiminta 2008	ELOKUVAT	Yhdysvallat	2008	Toiminta/Rikos/Draama/Trilleri	USA:n presidentti yritet‰‰n murhata, kun h‰n pit‰‰ puhetta Espanjassa. Tapahtumasta kerrotaan useiden ihmisten silmin. Dennis Quaid ja Matthew Fox esitt‰v‰t Salaisen palvelun agentteja. USA 2008.			USA:n presidentti yritet‰‰n murhata, kun h‰n pit‰‰ puhetta Espanjassa. Tapahtumasta kerrotaan useiden ihmisten silmin. Dennis Quaid ja Matthew Fox esitt‰v‰t Salaisen palvelun agentteja. USA 2008.	Dennis Quaid (Thomas Barnes), Matthew Fox (Kent Taylor), Forest Whitaker (Howard Lewis), Bruce McGill (Phil McCullough), William Hurt (President Ashton) 	Pete Travis							1585642	1		false
	19:00		Catch .44	Catch .44				94	15	USA toiminta 2011	ELOKUVAT	Yhdysvallat	2011	Toiminta/Draama/Trilleri	Bruce Willisin esitt‰m‰ gangsteripomo Mel antaa kolmelle naispuoliselle k‰tyrilleen teht‰v‰ksi est‰‰ huumekaupat. Siit‰ alkaa ketjureaktio, joka pist‰‰ kaiken sekaisin. USA 2011.			Bruce Willisin esitt‰m‰ gangsteripomo Mel antaa kolmelle naispuoliselle k‰tyrilleen teht‰v‰ksi est‰‰ huumekaupat. Siit‰ alkaa ketjureaktio, joka pist‰‰ kaiken sekaisin. USA 2011.	Malin Akerman (Tes), Nikki Reed (Kara), Deborah Ann Woll (Dawn), Forest Whitaker (Ronny), Bruce Willis (Mel) 	Aaron Harvey							2027443	1		false
	20:30		Inception	Inception				148	12	USA toiminta 2010	ELOKUVAT	Yhdysvallat	2010	Toiminta/Seikkailu/Scifi	Leonardo DiCaprion t‰hditt‰m‰ss‰ toimintaelokuvassa matkustetaan unien maailmaan. Alitajuntaan k‰tkettyjen salaisuuksien pihist‰miseen erikoistunut vainottu varas saa uuden tilaisuuden. USA 2010.			Leonardo DiCaprion t‰hditt‰m‰ss‰ toimintaelokuvassa matkustetaan unien maailmaan. Alitajuntaan k‰tkettyjen salaisuuksien pihist‰miseen erikoistunut vainottu varas saa uuden tilaisuuden. USA 2010.	Leonardo DiCaprio (Cobb), Joseph Gordon-Levitt (Arthur), Ellen Page (Ariadne), Marion Cotillard (Mal), Tom Hardy (Eames) 	Christopher Nolan							1970748	1		false
